CandId,Name,Age,phone,aadhar,voterid,Party,Constid
1,Ve. VAITHILINGAM,35,9238472392,9238472392,9238472392,INC,1
2,MOHAMMED FAIZAL PP,36,9238472294,9238472294,9238472294,NCP,2
3,HARSH VARDHAN,37,9238472196,9238472196,9238472196,BJP,3
4,GAUTAM GAMBHIR,38,9238472098,9238472098,9238472098,BJP,4
5,MEENAKASHI LEKHI,39,9238472000,9238472000,9238472000,BJP,5
6,MANOJ TIWARI,40,9238471902,9238471902,9238471902,BJP,6
7,HANS RAJ HANS,41,9238471804,9238471804,9238471804,BJP,7
8,RAMESH BIDHURI,42,9238471706,9238471706,9238471706,BJP,8
9,PARVESH SAHIB SINGH VERMA,43,9238471608,9238471608,9238471608,BJP,9
10,LALUBHAI BABUBHAI PATEL,44,9238471510,9238471510,9238471510,BJP,10
11,CHANDRA SEKAR,45,9238471412,9238471412,9238471412,INC,10
12,HARISH RAO,46,9238471314,9238471314,9238471314,TRS,10
13,KIRAN KUMAR,47,9238471216,9238471216,9238471216,TDP,10
14,HEMANTH,48,9238471118,9238471118,9238471118,TDP,5
15,BHARAT,49,9238471020,9238471020,9238471020,BRS,5
16,KRISHNA,50,9238470922,9238470922,9238470922,INC,5
17,PRADEEP,55,9238470824,9238470824,9238470824,DMK,5
