Seq_no,VoterId,name,Age,Sex,Const_Code,State,Approv_By,Approve_Status,Approve_dt,phone,Aadhar
1,202400001,HEMANTH,20,M,1,1,1,1,20240101,8985325080,9.29E+11
2,202400002,NANDINI,30,F,5,2,2,1,20240101,8985325081,9.29E+11
3,202400003,RAMESH,40,O,5,3,3,1,20240101,8985325082,9.29E+11
4,202400004,BHARATH,50,M,5,4,,0,,8985325083,9.29E+11
5,202400005,SURESH,60,M,5,5,1,1,20240101,8985325084,9.29E+11
6,202400006,KRISHNA,70,O,6,6,2,1,20240101,8985325085,9.29E+11
7,202400007,VIJAY,80,M,10,7,3,1,20240101,8985325086,9.29E+11
8,202400008,SAKTHI,90,M,10,8,,0,,8985325087,9.29E+11
9,202400009,PRAKASH,100,O,10,9,1,1,20240101,8985325088,9.29E+11
10,202400010,VIJAY,110,M,10,10,2,1,20240101,8985325089,9.29E+11
